,P8MEA,URN,LA,ESTAB_x,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER,RECTYPE,ALPHAIND,LEA,BPUP,PBPUP,GPUP,PGPUP,KS2APS,TPRIORLO,PTPRIORLO,TPRIORAV,PTPRIORAV,TPRIORHI,PTPRIORHI,TFSM6CLA1A,PTFSM6CLA1A,ATT8SCR,P8PUP,P8MEACOV,P8PUP_FSM6CLA1A,P8MEA_FSM6CLA1A,P8PUP_NFSM6CLA1A,P8MEA_NFSM6CLA1A,ATT8SCR_LO,P8PUP_LO,P8MEA_LO,ATT8SCR_AV,P8PUP_AV,P8MEA_AV,ATT8SCR_HI,P8PUP_HI,P8MEA_HI,ATT8SCR_GIRLS,P8PUP_GIRLS,P8MEA_GIRLS,ATT8SCR_BOYS,P8PUP_BOYS,P8MEA_BOYS,Gender_BOYS,Gender_GIRLS,AdmitPol_COMP,AdmitPol_MOD,AdmitPol_SEL,Faith_school_Christian,Faith_school_Church of England,Faith_school_Church of England/Christian,Faith_school_Church of England/Roman Catholic,Faith_school_Jewish,Faith_school_Muslim,Faith_school_Roman Catholic,Faith_school_Roman Catholic/Church of England,Faith_school_Sikh,School_type_ACC,School_type_ACCS,School_type_ACS,School_type_CTC,School_type_CY,School_type_CYS,School_type_F,School_type_FD,School_type_FDS,School_type_FS,School_type_FSS,School_type_FUTC,School_type_NMSS,School_type_VA,School_type_VC
819,-1.06,135479.0,340,4615.0,918.0,457.0,461.0,49.8,50.2,16.0,1.7,227.0,24.7,10.0,908.0,0.0,1.1,98.9,0.0,40.2,514.0,61.3,1,1064.0,340.0,105.0,58.0,76.0,42.0,26.3,40.0,22.0,106.0,60.0,32.0,18.0,101.0,56.0,36.2,178.0,98.0,100.0,-1.31,78.0,-0.74,17.9,40.0,-1.25,37.3,106.0,-1.09,56.4,32.0,-0.73,41.6,75.0,-0.74,32.3,103.0,-1.29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
820,-0.76,135481.0,340,4616.0,1026.0,503.0,523.0,49.0,51.0,16.0,1.6,10.0,1.0,11.0,975.0,40.0,1.1,95.0,3.9,23.4,462.0,45.0,1,46478.0,340.0,111.0,54.0,96.0,46.0,27.6,23.0,11.0,130.0,63.0,52.0,25.0,93.0,45.0,43.3,205.0,99.0,92.0,-1.14,113.0,-0.45,20.6,23.0,-1.07,41.6,130.0,-0.75,57.8,52.0,-0.63,45.2,96.0,-0.61,41.6,109.0,-0.89,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
824,-1.0,137675.0,341,4000.0,445.0,182.0,263.0,40.9,59.1,2.0,0.4,172.0,38.7,206.0,239.0,0.0,46.3,53.7,0.0,62.7,333.0,74.8,1,28526.0,341.0,54.0,61.0,35.0,39.0,24.5,32.0,41.0,38.0,48.0,9.0,11.0,74.0,83.0,33.2,79.0,89.0,69.0,-0.96,10.0,-1.27,25.8,32.0,-0.46,32.7,38.0,-1.53,58.3,9.0,-0.63,36.5,33.0,-0.75,31.1,46.0,-1.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,-0.55,138787.0,341,4001.0,809.0,274.0,535.0,33.9,66.1,4.0,0.5,138.0,17.1,157.0,641.0,11.0,19.4,79.2,1.4,29.6,381.0,56.3,1,11168.0,341.0,104.0,68.0,48.0,32.0,26.2,32.0,22.0,90.0,62.0,24.0,16.0,87.0,57.0,41.4,146.0,96.0,85.0,-0.73,61.0,-0.29,29.3,32.0,-0.16,41.4,90.0,-0.69,58.2,24.0,-0.52,37.8,46.0,-0.81,43.1,100.0,-0.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,-0.29,139588.0,341,4002.0,526.0,332.0,194.0,63.1,36.9,8.0,1.5,53.0,10.1,49.0,470.0,7.0,9.3,89.4,1.3,26.3,90.0,45.9,1,31238.0,341.0,36.0,38.0,58.0,62.0,28.6,11.0,12.0,41.0,46.0,37.0,42.0,38.0,40.0,51.5,89.0,95.0,37.0,-0.34,52.0,-0.26,35.7,11.0,0.22,46.2,41.0,-0.43,60.9,37.0,-0.3,53.0,56.0,-0.25,49.0,33.0,-0.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
827,-0.29,139589.0,341,4003.0,304.0,59.0,245.0,19.4,80.6,1.0,0.3,53.0,17.4,10.0,288.0,6.0,3.3,94.7,2.0,21.8,66.0,40.5,1,56114.0,341.0,61.0,84.0,12.0,16.0,27.8,9.0,13.0,38.0,54.0,23.0,33.0,39.0,53.0,49.2,70.0,96.0,38.0,-0.38,32.0,-0.18,38.8,9.0,0.81,45.3,38.0,-0.37,58.5,23.0,-0.58,48.0,11.0,-0.75,49.4,59.0,-0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
829,-0.09,138696.0,341,4306.0,1035.0,7.0,1028.0,0.7,99.3,4.0,0.4,163.0,15.7,50.0,985.0,0.0,4.8,95.2,0.0,15.8,361.5,40.4,1,60680.0,341.0,169.0,100.0,0.0,0.0,28.0,22.0,13.0,92.0,55.0,53.0,32.0,57.0,34.0,51.2,167.0,99.0,56.0,-0.36,111.0,0.05,35.6,22.0,0.17,49.0,92.0,-0.1,61.2,53.0,-0.17,0.0,0.0,0.0,51.2,167.0,-0.09,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,-0.49,104688.0,341,4404.0,739.0,739.0,0.0,100.0,0.0,1.0,0.1,108.0,14.6,138.0,601.0,0.0,18.7,81.3,0.0,38.3,351.0,53.9,1,25172.0,341.0,0.0,0.0,117.0,100.0,27.0,22.0,19.0,66.0,58.0,26.0,23.0,69.0,59.0,44.1,114.0,97.0,69.0,-0.61,45.0,-0.32,26.9,22.0,-0.45,45.2,66.0,-0.4,55.6,26.0,-0.77,44.1,114.0,-0.49,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
831,-0.78,104692.0,341,4420.0,876.0,404.0,472.0,46.1,53.9,4.0,0.5,181.0,20.7,29.0,847.0,0.0,3.3,96.7,0.0,27.1,355.0,48.2,1,18186.0,341.0,71.0,59.0,50.0,41.0,27.8,19.0,17.0,65.0,57.0,31.0,27.0,58.0,48.0,43.0,115.0,95.0,57.0,-0.93,58.0,-0.65,27.9,19.0,-0.54,41.6,65.0,-0.86,56.7,31.0,-0.78,44.2,47.0,-0.78,42.1,68.0,-0.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
832,-0.62,104693.0,341,4421.0,1653.0,745.0,908.0,45.1,54.9,6.0,0.4,408.0,24.7,69.0,1584.0,0.0,4.2,95.8,0.0,37.2,812.0,64.0,1,1422.0,341.0,129.0,52.0,121.0,48.0,26.8,50.0,21.0,141.0,58.0,52.0,21.0,169.0,68.0,42.5,243.0,97.0,164.0,-0.78,79.0,-0.29,27.3,50.0,-0.48,42.0,141.0,-0.68,57.8,52.0,-0.61,42.6,117.0,-0.65,42.4,126.0,-0.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
