,P8MEA,URN,LA,ESTAB_x,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER,RECTYPE,ALPHAIND,LEA,BPUP,PBPUP,GPUP,PGPUP,KS2APS,TPRIORLO,PTPRIORLO,TPRIORAV,PTPRIORAV,TPRIORHI,PTPRIORHI,TFSM6CLA1A,PTFSM6CLA1A,ATT8SCR,P8PUP,P8MEACOV,P8PUP_FSM6CLA1A,P8MEA_FSM6CLA1A,P8PUP_NFSM6CLA1A,P8MEA_NFSM6CLA1A,ATT8SCR_LO,P8PUP_LO,P8MEA_LO,ATT8SCR_AV,P8PUP_AV,P8MEA_AV,ATT8SCR_HI,P8PUP_HI,P8MEA_HI,ATT8SCR_GIRLS,P8PUP_GIRLS,P8MEA_GIRLS,ATT8SCR_BOYS,P8PUP_BOYS,P8MEA_BOYS,Gender_BOYS,Gender_GIRLS,AdmitPol_COMP,AdmitPol_MOD,AdmitPol_SEL,Faith_school_Christian,Faith_school_Church of England,Faith_school_Church of England/Christian,Faith_school_Church of England/Roman Catholic,Faith_school_Jewish,Faith_school_Muslim,Faith_school_Roman Catholic,Faith_school_Roman Catholic/Church of England,Faith_school_Sikh,School_type_ACC,School_type_ACCS,School_type_ACS,School_type_CTC,School_type_CY,School_type_CYS,School_type_F,School_type_FD,School_type_FDS,School_type_FS,School_type_FSS,School_type_FUTC,School_type_NMSS,School_type_VA,School_type_VC
1,-0.11,100049.0,202,4104.0,1227.0,497.0,730.0,40.5,59.5,51.0,4.2,94.0,7.7,857.0,370.0,0.0,69.8,30.2,0.0,40.4,732.0,72.3,1,23176.0,202.0,136.0,66.0,71.0,34.0,26.5,40.0,20.0,122.0,61.0,39.0,19.0,156.0,75.0,47.0,201.0,97.0,155.0,-0.13,46.0,-0.06,28.0,40.0,-0.19,47.9,122.0,-0.11,63.0,39.0,-0.06,49.8,69.0,0.15,45.5,132.0,-0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0.18,100050.0,202,4166.0,1114.0,1060.0,54.0,95.2,4.8,14.0,1.3,113.0,10.1,402.0,707.0,5.0,36.1,63.5,0.4,27.8,478.0,54.1,1,39932.0,202.0,0.0,0.0,175.0,100.0,28.6,18.0,11.0,83.0,49.0,68.0,40.0,109.0,62.0,55.6,169.0,97.0,108.0,0.07,61.0,0.38,34.3,18.0,0.28,51.8,83.0,0.1,66.3,68.0,0.26,55.6,169.0,0.18,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,-0.15,100051.0,202,4196.0,831.0,367.0,464.0,44.2,55.8,35.0,4.2,125.0,15.0,692.0,138.0,1.0,83.3,16.6,0.1,38.2,499.0,69.5,1,42930.0,202.0,84.0,61.0,53.0,39.0,25.6,29.0,25.0,71.0,62.0,15.0,13.0,89.0,65.0,43.8,115.0,84.0,84.0,-0.16,31.0,-0.13,32.6,29.0,0.27,46.0,71.0,-0.27,57.5,15.0,-0.4,45.7,46.0,0.05,42.7,69.0,-0.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.09,100052.0,202,4275.0,1205.0,540.0,665.0,44.8,55.2,30.0,2.5,143.0,11.9,697.0,507.0,1.0,57.8,42.1,0.1,22.8,587.0,57.9,1,22308.0,202.0,133.0,65.0,73.0,35.0,26.8,50.0,26.0,95.0,49.0,49.0,25.0,120.0,58.0,50.0,194.0,94.0,114.0,-0.14,80.0,0.43,33.4,50.0,0.06,50.6,95.0,0.19,63.2,49.0,-0.05,56.0,68.0,0.44,46.7,126.0,-0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,-0.26,100053.0,202,4285.0,974.0,346.0,628.0,35.5,64.5,49.0,5.0,69.0,7.1,325.0,638.0,11.0,33.4,65.5,1.1,27.3,404.0,53.0,1,368.0,202.0,109.0,63.0,63.0,37.0,28.3,22.0,13.0,81.0,48.0,66.0,39.0,98.0,57.0,50.1,169.0,98.0,96.0,-0.38,73.0,-0.1,26.0,22.0,-0.75,46.8,81.0,-0.21,63.1,66.0,-0.16,50.5,61.0,-0.13,49.9,108.0,-0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0.31,100054.0,202,4611.0,1006.0,849.0,157.0,84.4,15.6,15.0,1.5,85.0,8.4,405.0,601.0,0.0,40.3,59.7,0.0,17.5,225.0,39.6,1,9318.0,202.0,0.0,0.0,111.0,100.0,29.2,13.0,12.0,41.0,39.0,51.0,49.0,44.0,40.0,60.1,105.0,95.0,43.0,0.04,62.0,0.51,34.8,13.0,0.34,52.6,41.0,0.13,71.7,51.0,0.46,60.1,105.0,0.31,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.16,100055.0,202,4652.0,627.0,494.0,133.0,78.8,21.2,14.0,2.2,80.0,12.8,404.0,223.0,0.0,64.4,35.6,0.0,34.8,335.0,62.3,1,32910.0,202.0,0.0,0.0,92.0,100.0,26.9,15.0,18.0,52.0,61.0,18.0,21.0,62.0,67.0,50.1,85.0,92.0,59.0,0.03,26.0,0.46,34.0,15.0,0.28,52.0,52.0,0.33,59.3,18.0,-0.42,50.1,85.0,0.16,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,-0.37,100056.0,202,4688.0,858.0,103.0,755.0,12.0,88.0,18.0,2.1,92.0,10.7,424.0,434.0,0.0,49.4,50.6,0.0,25.8,349.0,57.1,1,62228.0,202.0,123.0,100.0,0.0,0.0,28.5,12.0,11.0,55.0,48.0,47.0,41.0,70.0,57.0,50.6,114.0,93.0,68.0,-0.68,46.0,0.09,31.8,12.0,-0.14,44.3,55.0,-0.49,61.3,47.0,-0.28,0.0,0.0,0.0,50.6,114.0,-0.37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0.41,100059.0,202,5401.0,1134.0,1086.0,48.0,95.8,4.2,10.0,0.9,70.0,6.2,364.0,770.0,0.0,32.1,67.9,0.0,15.9,388.5,43.9,1,29346.0,202.0,0.0,0.0,172.0,100.0,28.5,16.0,9.0,92.0,54.0,62.0,36.0,77.0,45.0,57.6,170.0,99.0,76.0,0.13,94.0,0.63,34.5,16.0,0.27,55.2,92.0,0.43,67.0,62.0,0.41,57.6,170.0,0.41,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0.36,138449.0,203,4000.0,1046.0,436.0,610.0,41.7,58.3,7.0,0.7,109.0,10.4,273.0,773.0,0.0,26.1,73.9,0.0,37.0,477.5,54.4,1,22694.0,203.0,96.0,63.0,56.0,37.0,26.9,29.0,22.0,71.0,55.0,29.0,22.0,88.0,58.0,52.7,129.0,85.0,78.0,0.41,51.0,0.27,43.3,29.0,0.95,50.3,71.0,0.2,64.9,29.0,0.15,52.0,49.0,0.38,53.1,80.0,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.11,139786.0,203,4002.0,257.0,49.0,208.0,19.1,80.9,7.0,2.7,41.0,16.0,72.0,183.0,2.0,28.0,71.2,0.8,16.2,34.0,38.6,1,58930.0,203.0,45.0,76.0,14.0,24.0,27.5,8.0,16.0,32.0,63.0,11.0,22.0,22.0,37.0,50.7,51.0,86.0,21.0,-0.29,30.0,0.01,40.4,8.0,0.55,48.3,32.0,-0.09,57.6,11.0,-0.67,54.4,13.0,-0.19,49.5,38.0,-0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0.07,100182.0,203,4077.0,1026.0,1002.0,24.0,97.7,2.3,6.0,0.6,73.0,7.1,319.0,698.0,9.0,31.1,68.0,0.9,15.6,349.0,40.7,1,17178.0,203.0,0.0,0.0,143.0,100.0,28.0,13.0,10.0,81.0,63.0,35.0,27.0,47.0,33.0,51.8,129.0,90.0,43.0,-0.21,86.0,0.21,40.3,13.0,0.54,50.6,81.0,0.04,61.7,35.0,-0.06,51.8,129.0,0.07,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0.03,100183.0,203,4130.0,1452.0,1418.0,34.0,97.7,2.3,27.0,1.9,140.0,9.6,628.0,824.0,0.0,43.3,56.7,0.0,23.3,569.0,49.3,1,40924.0,203.0,0.0,0.0,235.0,100.0,26.9,38.0,18.0,119.0,56.0,55.0,26.0,123.0,52.0,48.9,212.0,90.0,118.0,-0.26,94.0,0.39,26.6,38.0,-0.25,49.8,119.0,0.07,64.3,55.0,0.14,48.9,212.0,0.03,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,-0.35,137473.0,203,4243.0,1135.0,468.0,667.0,41.2,58.8,29.0,2.6,123.0,10.8,644.0,491.0,0.0,56.7,43.3,0.0,26.6,548.0,60.2,1,13068.0,203.0,83.0,47.0,95.0,53.0,26.3,28.0,22.0,74.0,57.0,27.0,21.0,127.0,71.0,44.7,129.0,72.0,105.0,-0.36,24.0,-0.29,25.3,28.0,-0.48,44.9,74.0,-0.36,60.5,27.0,-0.18,46.2,66.0,-0.34,42.9,63.0,-0.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.46,141163.0,203,4250.0,1433.0,48.0,1385.0,3.3,96.7,21.0,1.5,138.0,9.6,760.0,607.0,66.0,53.0,42.4,4.6,20.3,565.0,48.6,1,63718.0,203.0,219.0,100.0,0.0,0.0,26.6,42.0,23.0,97.0,52.0,47.0,25.0,111.0,51.0,52.5,186.0,85.0,104.0,0.31,82.0,0.65,38.4,42.0,0.85,52.9,97.0,0.37,66.1,47.0,0.28,0.0,0.0,0.0,52.5,186.0,0.46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-0.08,141309.0,203,4271.0,1621.0,698.0,923.0,43.1,56.9,53.0,3.3,159.0,9.8,319.0,1302.0,0.0,19.7,80.3,0.0,14.7,487.5,36.7,1,55428.0,203.0,154.0,59.0,109.0,41.0,27.8,28.0,11.0,147.0,58.0,77.0,31.0,98.0,37.0,50.5,252.0,96.0,97.0,-0.22,155.0,0.01,34.0,28.0,0.28,47.7,147.0,-0.13,62.9,77.0,-0.11,54.0,102.0,0.13,48.1,150.0,-0.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-0.05,100190.0,203,4294.0,1808.0,804.0,1004.0,44.5,55.5,79.0,4.4,65.0,3.6,453.0,1353.0,2.0,25.1,74.8,0.1,21.3,578.0,44.1,1,57346.0,203.0,131.0,56.0,101.0,44.0,27.4,40.0,18.0,116.0,52.0,68.0,30.0,98.0,42.0,49.9,224.0,97.0,97.0,-0.23,127.0,0.08,31.7,40.0,0.24,48.9,116.0,-0.09,62.4,68.0,-0.17,53.0,98.0,0.13,47.6,126.0,-0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,-0.7,100192.0,203,4508.0,1302.0,522.0,780.0,40.1,59.9,28.0,2.2,286.0,22.0,469.0,778.0,55.0,36.0,59.8,4.2,23.2,531.0,50.1,1,27506.0,203.0,117.0,57.0,88.0,43.0,27.4,32.0,16.0,108.0,55.0,55.0,28.0,101.0,49.0,43.2,195.0,95.0,95.0,-1.01,100.0,-0.4,25.1,32.0,-0.73,41.3,108.0,-0.8,58.3,55.0,-0.48,44.8,84.0,-0.56,41.9,111.0,-0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0.43,100193.0,203,4682.0,620.0,620.0,0.0,100.0,0.0,2.0,0.3,23.0,3.7,171.0,448.0,1.0,27.6,72.3,0.2,9.5,171.0,27.6,1,51702.0,203.0,0.0,0.0,117.0,100.0,28.9,7.0,6.0,59.0,53.0,46.0,41.0,28.0,24.0,59.3,112.0,96.0,27.0,0.37,85.0,0.46,39.4,7.0,0.62,55.3,59.0,0.55,66.7,46.0,0.26,59.3,112.0,0.43,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0.74,141716.0,203,4716.0,617.0,285.0,332.0,46.2,53.8,15.0,2.4,62.0,10.0,70.0,544.0,3.0,11.3,88.2,0.5,5.7,85.0,13.8,1,51562.0,203.0,65.0,54.0,56.0,46.0,28.3,15.0,13.0,63.0,53.0,41.0,34.0,16.0,13.0,60.6,119.0,98.0,16.0,0.84,103.0,0.72,42.8,15.0,0.99,58.5,63.0,0.79,69.9,41.0,0.57,61.6,55.0,0.79,59.8,64.0,0.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0,105135.0,203,6905.0,1187.0,479.0,708.0,40.4,59.6,25.0,2.1,128.0,10.8,510.0,677.0,0.0,43.0,57.0,0.0,13.9,496.5,41.9,1,50572.0,203.0,143.0,62.0,87.0,38.0,27.6,25.0,11.0,155.0,70.0,43.0,19.0,99.0,43.0,50.1,223.0,97.0,96.0,-0.23,127.0,0.18,34.5,25.0,0.19,49.6,155.0,-0.04,63.1,43.0,0.04,52.8,84.0,0.19,48.5,139.0,-0.11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.33,100277.0,204,4283.0,969.0,472.0,497.0,48.7,51.3,17.0,1.8,178.0,18.4,431.0,538.0,0.0,44.5,55.5,0.0,32.6,478.5,55.1,1,22012.0,204.0,88.0,48.0,94.0,52.0,27.6,24.0,15.0,93.0,60.0,39.0,25.0,98.0,54.0,52.6,156.0,86.0,92.0,0.16,64.0,0.59,39.9,24.0,0.6,52.4,93.0,0.3,67.2,39.0,0.24,53.8,80.0,0.43,51.3,76.0,0.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,0.25,137442.0,204,4302.0,1104.0,1104.0,0.0,100.0,0.0,16.0,1.4,138.0,12.5,605.0,499.0,0.0,54.8,45.2,0.0,34.4,497.0,55.6,1,11896.0,204.0,0.0,0.0,175.0,100.0,27.7,27.0,16.0,89.0,53.0,52.0,31.0,103.0,59.0,53.2,168.0,96.0,100.0,0.16,68.0,0.39,35.1,27.0,0.21,52.7,89.0,0.37,65.3,52.0,0.06,53.2,168.0,0.25,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.3,100279.0,204,4310.0,1583.0,733.0,850.0,46.3,53.7,55.0,3.5,362.0,22.9,424.0,1159.0,0.0,26.8,73.2,0.0,22.6,490.0,39.1,1,55746.0,204.0,130.0,55.0,106.0,45.0,27.8,32.0,14.0,120.0,52.0,80.0,34.0,95.0,40.0,54.4,232.0,98.0,93.0,-0.08,139.0,0.55,32.9,32.0,0.36,52.5,120.0,0.28,67.3,80.0,0.3,59.7,104.0,0.64,50.1,128.0,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,0.47,100282.0,204,4641.0,741.0,739.0,2.0,99.7,0.3,4.0,0.5,59.0,8.0,478.0,262.0,1.0,64.5,35.4,0.1,25.6,319.0,52.6,1,39126.0,204.0,0.0,0.0,115.0,100.0,26.9,23.0,21.0,60.0,56.0,25.0,23.0,53.0,46.0,53.6,108.0,94.0,52.0,0.23,56.0,0.69,37.1,23.0,0.61,54.5,60.0,0.45,67.6,25.0,0.36,53.6,108.0,0.47,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,-0.14,100284.0,204,4697.0,825.0,321.0,504.0,38.9,61.1,19.0,2.3,198.0,24.0,473.0,346.0,6.0,57.3,41.9,0.7,53.5,519.5,70.5,1,59108.0,204.0,81.0,66.0,42.0,34.0,26.0,24.0,23.0,69.0,65.0,13.0,12.0,77.0,63.0,44.2,106.0,86.0,72.0,-0.17,34.0,-0.06,31.4,24.0,0.16,46.4,69.0,-0.26,62.6,13.0,-0.05,46.3,34.0,0.07,43.0,72.0,-0.23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0.03,100285.0,204,4714.0,1071.0,474.0,597.0,44.3,55.7,25.0,2.3,188.0,17.6,534.0,536.0,1.0,49.9,50.0,0.1,40.6,581.0,64.5,1,9552.0,204.0,95.0,57.0,73.0,43.0,26.8,27.0,18.0,87.0,58.0,35.0,23.0,98.0,58.0,48.9,149.0,89.0,95.0,-0.08,54.0,0.23,34.7,27.0,0.31,48.1,87.0,-0.06,62.1,35.0,0.03,49.0,67.0,-0.01,48.8,82.0,0.06,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,0.78,134693.0,204,6905.0,1293.0,614.0,679.0,47.5,52.5,63.0,4.9,114.0,8.8,667.0,621.0,5.0,51.6,48.0,0.4,27.6,500.5,49.1,1,35166.0,204.0,106.0,50.0,105.0,50.0,27.8,28.0,14.0,113.0,55.0,65.0,32.0,102.0,48.0,59.5,206.0,98.0,100.0,0.64,106.0,0.9,35.8,28.0,0.5,58.5,113.0,0.89,71.5,65.0,0.69,61.0,102.0,0.82,58.0,104.0,0.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.28,131062.0,204,6906.0,1216.0,453.0,763.0,37.3,62.7,35.0,2.9,286.0,23.5,478.0,656.0,82.0,39.3,53.9,6.7,39.8,577.5,62.8,1,40488.0,204.0,120.0,66.0,61.0,34.0,26.9,35.0,20.0,93.0,54.0,44.0,26.0,108.0,60.0,51.3,172.0,95.0,106.0,0.3,66.0,0.23,30.8,35.0,-0.01,52.8,93.0,0.37,66.5,44.0,0.29,57.7,59.0,0.59,48.0,113.0,0.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.24,131609.0,204,6907.0,1070.0,541.0,529.0,50.6,49.4,32.0,3.0,103.0,9.6,518.0,551.0,1.0,48.4,51.5,0.1,55.9,607.5,68.1,1,7192.0,204.0,84.0,47.0,94.0,53.0,27.0,35.0,20.0,90.0,51.0,50.0,29.0,112.0,63.0,51.8,175.0,98.0,111.0,0.13,64.0,0.44,34.2,35.0,0.4,50.8,90.0,0.13,66.6,50.0,0.34,53.3,93.0,0.26,50.0,82.0,0.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.02,135835.0,204,6908.0,1041.0,441.0,600.0,42.4,57.6,48.0,4.6,249.0,23.9,419.0,622.0,0.0,40.2,59.8,0.0,34.5,529.0,59.1,1,11788.0,204.0,99.0,59.0,70.0,41.0,27.0,25.0,15.0,107.0,66.0,30.0,19.0,94.0,56.0,59.1,162.0,96.0,90.0,0.91,72.0,1.15,41.9,25.0,1.21,59.5,107.0,1.04,72.6,30.0,0.79,60.9,67.0,1.15,57.9,95.0,0.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.39,136137.0,204,6909.0,957.0,432.0,525.0,45.1,54.9,29.0,3.0,205.0,21.4,613.0,344.0,0.0,64.1,35.9,0.0,38.5,578.5,64.1,1,53878.0,204.0,88.0,52.0,80.0,48.0,26.3,38.0,24.0,93.0,59.0,27.0,17.0,108.0,64.0,50.5,158.0,94.0,100.0,0.17,58.0,0.76,34.7,38.0,0.37,53.3,93.0,0.46,64.9,27.0,0.18,52.7,77.0,0.44,48.5,81.0,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.19,136750.0,205,4000.0,597.0,281.0,316.0,47.1,52.9,19.0,3.2,32.0,5.4,34.0,562.0,1.0,5.7,94.1,0.2,23.1,230.0,38.5,1,60822.0,205.0,67.0,56.0,52.0,44.0,29.6,8.0,8.0,45.0,42.0,53.0,50.0,41.0,34.0,58.7,106.0,89.0,37.0,-0.07,69.0,0.33,32.5,8.0,-0.05,53.5,45.0,0.18,67.7,53.0,0.24,62.0,48.0,0.43,56.2,58.0,-0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,0.14,141617.0,205,4002.0,344.0,134.0,210.0,39.0,61.0,7.0,2.0,114.0,33.1,171.0,173.0,0.0,49.7,50.3,0.0,26.7,206.5,60.1,1,26442.0,205.0,47.0,59.0,32.0,41.0,25.9,18.0,33.0,25.0,46.0,11.0,20.0,43.0,54.0,49.4,54.0,68.0,39.0,0.03,15.0,0.43,37.3,18.0,0.45,50.6,25.0,0.27,56.2,11.0,-0.66,48.4,14.0,0.01,50.1,40.0,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-0.19,139364.0,205,4106.0,420.0,28.0,392.0,6.7,93.3,16.0,3.8,96.0,22.9,196.0,224.0,0.0,46.7,53.3,0.0,35.6,230.0,60.1,1,19530.0,205.0,60.0,85.0,11.0,15.0,25.1,18.0,32.0,32.0,57.0,6.0,11.0,47.0,66.0,44.5,56.0,79.0,43.0,-0.38,13.0,0.42,34.4,18.0,0.46,43.9,32.0,-0.48,55.7,6.0,-0.56,43.2,11.0,-0.03,44.8,45.0,-0.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-0.41,100359.0,205,4314.0,805.0,355.0,450.0,44.1,55.9,2.0,0.2,149.0,18.5,529.0,276.0,0.0,65.7,34.3,0.0,31.8,439.5,66.9,1,40602.0,205.0,83.0,52.0,78.0,48.0,26.8,31.0,21.0,89.0,60.0,28.0,19.0,104.0,65.0,43.6,148.0,92.0,101.0,-0.52,47.0,-0.16,28.5,31.0,-0.41,44.8,89.0,-0.43,60.9,28.0,-0.33,46.0,73.0,-0.2,41.4,75.0,-0.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,0.71,139365.0,205,4315.0,604.0,604.0,0.0,100.0,0.0,6.0,1.0,114.0,18.9,338.0,265.0,1.0,56.0,43.9,0.2,31.9,390.5,64.7,1,19532.0,205.0,0.0,0.0,123.0,100.0,27.1,21.0,20.0,51.0,50.0,31.0,30.0,74.0,60.0,56.9,103.0,84.0,68.0,0.65,35.0,0.82,41.4,21.0,1.14,57.2,51.0,0.78,67.5,31.0,0.29,56.9,103.0,0.71,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.23,131752.0,205,6905.0,1167.0,526.0,641.0,45.1,54.9,26.0,2.2,66.0,5.7,533.0,583.0,6.0,47.5,52.0,0.5,29.8,566.5,61.3,1,2302.0,205.0,105.0,62.0,64.0,38.0,27.4,29.0,18.0,85.0,53.0,46.0,29.0,102.0,60.0,52.7,160.0,95.0,99.0,0.18,61.0,0.32,32.4,29.0,0.08,53.2,85.0,0.35,64.4,46.0,0.11,57.5,60.0,0.5,49.8,100.0,0.07,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-0.05,136172.0,205,6906.0,741.0,320.0,421.0,43.2,56.8,10.0,1.3,89.0,12.0,445.0,294.0,2.0,60.1,39.7,0.3,28.2,360.0,60.1,1,22268.0,205.0,69.0,62.0,42.0,38.0,28.2,14.0,13.0,57.0,54.0,35.0,33.0,58.0,52.0,52.7,106.0,95.0,58.0,-0.23,48.0,0.16,30.4,14.0,-0.28,50.9,57.0,0.08,62.9,35.0,-0.18,52.0,41.0,-0.07,53.2,65.0,-0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-0.35,100452.0,206,4108.0,1221.0,425.0,796.0,34.8,65.2,27.0,2.2,306.0,25.1,543.0,674.0,4.0,44.5,55.2,0.3,33.5,694.0,67.6,1,24400.0,206.0,125.0,62.0,76.0,38.0,27.1,39.0,20.0,108.0,56.0,45.0,23.0,139.0,69.0,45.5,192.0,96.0,138.0,-0.4,54.0,-0.22,32.0,39.0,-0.05,44.3,108.0,-0.47,61.3,45.0,-0.31,49.8,73.0,-0.19,42.8,119.0,-0.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,-0.14,100453.0,206,4112.0,819.0,275.0,544.0,33.6,66.4,26.0,3.2,61.0,7.4,227.0,592.0,0.0,27.7,72.3,0.0,44.3,655.0,80.0,1,25154.0,206.0,109.0,75.0,36.0,25.0,26.4,29.0,21.0,83.0,61.0,25.0,18.0,105.0,72.0,46.0,137.0,94.0,102.0,-0.07,35.0,-0.34,30.4,29.0,-0.13,48.3,83.0,0.0,55.3,25.0,-0.62,47.8,35.0,-0.17,45.4,102.0,-0.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,0.4,100455.0,206,4307.0,754.0,754.0,0.0,100.0,0.0,3.0,0.4,150.0,19.9,450.0,304.0,0.0,59.7,40.3,0.0,42.4,504.5,77.2,1,24398.0,206.0,0.0,0.0,133.0,100.0,27.0,26.0,21.0,68.0,56.0,28.0,23.0,102.0,77.0,53.0,122.0,92.0,95.0,0.36,27.0,0.56,39.5,26.0,0.71,53.8,68.0,0.43,64.3,28.0,0.06,53.0,122.0,0.4,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,0.41,100457.0,206,4324.0,843.0,843.0,0.0,100.0,0.0,15.0,1.8,76.0,9.0,428.0,415.0,0.0,50.8,49.2,0.0,35.9,606.0,72.0,1,16908.0,206.0,0.0,0.0,131.0,100.0,27.4,16.0,13.0,72.0,60.0,32.0,27.0,100.0,76.0,53.9,120.0,92.0,92.0,0.36,28.0,0.55,33.9,16.0,0.27,53.6,72.0,0.48,66.1,32.0,0.32,53.9,120.0,0.41,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
